raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,raw_acc:3d:std_x,raw_acc:3d:std_y,raw_acc:3d:std_z,raw_acc:3d:ro_xy,raw_acc:3d:ro_xz,raw_acc:3d:ro_yz
-0.013212,0.134691,0.997069,0.00149,0.002443,0.002324,0.184833,-0.237894,-0.306644
0.101513,0.321539,0.946454,0.00214,0.003046,0.002504,-0.474494,0.134107,-0.328569
-0.015707,-0.00304,1.008879,0.001112,0.001086,0.001835,-0.001142,-0.031201,-0.064548
0.815523,-0.072119,0.580388,0.004879,0.00444,0.004124,0.344735,0.107126,0.190243
-0.023968,-0.003963,1.011135,0.002587,0.00324,0.002148,-0.334895,-0.010046,-0.095368
-0.010938,0.006958,1.012972,0.001141,0.001529,0.001817,0.201333,-0.053318,-0.006238
-0.013118,0.035661,1.006749,0.00303,0.00275,0.004449,-0.435479,-0.095585,0.349452
-0.009315,0.003858,1.011264,0.001949,0.003897,0.004099,0.495346,-0.056864,-0.000302
-0.043376,0.131717,0.997617,0.013231,0.025556,0.010492,-0.458596,0.153923,-0.275294
-0.721927,0.240384,0.418058,0.335041,0.290413,0.272036,0.810379,0.847193,0.682646
-0.183036,0.156602,0.978953,0.041669,0.081228,0.032469,-0.042565,0.013432,-0.497225
-0.008064,0.004504,1.01157,0.001188,0.001407,0.002257,0.180135,-0.032372,0.046736
0.002835,-0.016514,1.007913,0.002957,0.002607,0.003244,0.119044,-0.211333,0.124318
0.130747,-0.172159,0.986384,0.004565,0.004904,0.007274,0.004577,-0.003807,-0.021546
0.189407,0.966075,0.027539,0.308844,0.54474,0.357481,0.34136,0.375226,0.212546
-0.015716,-0.003208,1.008783,0.001077,0.001173,0.001781,0.04999,0.0035,-0.104177
-0.010643,0.00498,1.015961,0.005086,0.005306,0.007772,0.01413,0.032266,-0.002952
0.185661,0.269094,0.950529,0.001237,0.001747,0.002042,0.070063,-0.209463,-0.219897
0.130276,-0.172435,0.985846,0.004496,0.004641,0.007294,0.018509,-0.015093,0.00531
-0.281529,0.036106,0.966817,0.001177,0.00115,0.001842,0.001761,-0.009359,-0.065455
0.20171,0.946123,0.067265,0.348901,0.518895,0.37728,0.503521,0.095684,-0.161584
0.118359,0.962381,0.209014,0.022344,0.012412,0.022887,-0.11517,0.265227,-0.324654
-0.006159,0.007791,1.010392,0.001172,0.001337,0.001997,0.15227,-0.033913,0.003781
-0.016187,-0.003761,1.009427,0.001045,0.001158,0.001801,-0.012927,0.016316,-0.044304
0.074404,0.400193,0.909338,0.160514,0.143735,0.294428,0.156593,0.180461,-0.198358
0.206211,0.913627,0.006162,0.418395,0.766828,0.485448,0.37972,0.192394,0.141278
0.101298,0.12825,0.993846,0.048743,0.08567,0.032326,-0.57733,0.556998,-0.716981
-0.20533,0.59895,0.730611,0.264829,0.02205,0.107503,-0.132159,0.947764,-0.225801
0.201898,-0.114829,0.979969,0.001066,0.00119,0.001805,-0.023801,-0.019015,0.046387
0.00405,0.143978,1.006109,0.013108,0.013139,0.013409,0.591815,-0.082777,-0.124977
-0.136427,0.282756,0.953415,0.001299,0.00162,0.002239,0.032378,-0.119975,-0.244245
0.033903,-0.185923,0.987185,0.001131,0.001179,0.00182,-0.055037,-0.043349,0.021633
-0.009051,0.006068,1.013669,0.001369,0.001758,0.001947,0.11371,-0.023139,-0.031939
-0.278335,0.03567,0.967672,0.001124,0.001309,0.001826,0.03254,0.010726,-0.008058
0.144352,0.960095,0.088495,0.295593,0.482691,0.406433,0.352272,0.246267,0.022938
-0.020995,-0.012787,1.011435,0.002277,0.002226,0.00209,-0.325316,-0.014278,-0.00493
-0.014756,-0.019632,1.01318,0.035563,0.021847,0.022264,0.792748,0.287048,0.417472
-0.009075,0.012359,1.008689,0.003125,0.002684,0.003709,0.382426,-0.051163,-0.089927
-0.016307,-0.003399,1.010076,0.001146,0.001097,0.001865,0.018961,-0.025092,-0.048714
0.746346,0.203413,0.637204,0.003344,0.00618,0.004072,-0.531962,-0.341334,0.304143
-0.00131,-0.010371,1.006757,0.001156,0.001189,0.001928,0.074703,-0.02889,-0.02262
0.199222,-0.114767,0.98552,0.001122,0.001137,0.001817,0.000685,0.064112,0.047083
-0.008079,0.004382,1.005483,0.001236,0.001809,0.002314,0.246717,-0.087387,-0.106207
0.105299,0.09318,0.968405,0.171928,0.142443,0.081067,0.937681,-0.819894,-0.848023
-0.008958,0.008228,1.012964,0.002236,0.002246,0.003627,0.054338,-0.021002,0.040758
0.182102,0.964499,0.046201,0.332831,0.495139,0.393725,0.353136,0.310494,0.111103
0.149843,0.167023,0.979507,0.001289,0.00219,0.002065,0.340743,-0.137823,-0.295986
-0.030331,0.555883,0.830187,0.045602,0.075095,0.0678,-0.049966,-0.00996,-0.546563
0.19828,0.959472,0.009736,0.390488,0.527492,0.396116,0.440622,0.4098,0.074015
-0.06065,-0.063658,1.005327,0.001126,0.001131,0.00182,0.079164,-0.059848,-0.09447
-0.007014,0.006176,1.005355,0.004868,0.004848,0.008187,0.034857,-0.097803,-0.006057
0.396737,0.129557,0.787836,0.21114,0.373674,0.268826,-0.50318,0.613168,-0.799424
0.201525,-0.114713,0.981244,0.001071,0.001126,0.001844,-0.006283,0.03104,-0.03277
0.597375,0.090004,0.798839,0.058877,0.094797,0.052358,-0.025077,-0.468333,-0.065527
-0.020778,-0.018579,1.014572,0.00228,0.002415,0.00272,0.146283,0.263842,-0.00837
-0.005998,0.004326,1.00609,0.002332,0.00287,0.003918,0.247133,0.018285,-0.055886
0.21753,0.045875,0.981871,0.00445,0.004819,0.007312,0.009792,0.001529,-0.000925
-0.015975,-0.004059,1.009496,0.001111,0.001142,0.002044,0.096406,-0.137664,-0.123651
-0.031036,0.003169,1.006979,0.001148,0.001167,0.001784,0.079827,0.004838,-0.022949
-0.009061,0.012392,1.007944,0.001184,0.001535,0.001872,0.243091,-0.075078,-0.061522
0.201624,-0.115272,0.980776,0.001083,0.001111,0.001719,0.012358,-0.02607,-0.001423
0.201591,-0.114564,0.980469,0.001095,0.001082,0.001906,0.022954,-0.062285,-0.070234
0.794804,0.20433,0.573734,0.004436,0.004301,0.004644,-0.274266,-0.417803,-0.048276
0.14905,-0.123356,0.989014,0.004676,0.004684,0.007489,0.059144,-0.012108,0.001926
-0.017662,-0.169791,0.992315,0.001081,0.001128,0.001753,0.029638,-0.022061,-0.06862
-0.015974,-0.003349,1.00932,0.001074,0.001079,0.00181,0.049219,-0.038208,-0.004371
-0.030598,0.000707,1.01042,0.004711,0.004992,0.00916,0.019791,-0.063232,0.026698
0.05906,0.025186,0.986184,0.149777,0.136089,0.073539,-0.361753,-0.206916,-0.235424
0.125365,0.215503,0.610735,0.231268,0.456596,0.596766,0.115362,-0.082834,-0.92855
0.040412,0.357413,0.935161,0.010327,0.013414,0.009427,0.555413,-0.472632,-0.550436
-0.006244,0.006132,1.004265,0.001219,0.001643,0.001812,0.30483,-0.040969,-0.035729
-0.010201,0.005562,1.013427,0.001675,0.003112,0.004325,0.608529,-0.094133,0.036642
0.218596,0.154144,0.970653,0.004763,0.004912,0.007726,0.001252,0.016415,-0.030147
0.771133,0.287087,0.568561,0.029209,0.034462,0.018498,0.426678,0.252246,0.744746
-0.009513,0.005549,1.010301,0.00117,0.001638,0.001819,0.288471,0.001218,-0.020107
0.033604,0.316284,0.952603,0.001199,0.00133,0.001885,0.03653,-0.099767,-0.073241
-0.073833,-0.034226,1.002921,0.001193,0.001154,0.001888,-0.006269,-0.063846,0.005597
-0.757258,0.606795,0.129172,0.148635,0.136091,0.160788,0.482771,-0.200131,-0.343142
-0.377172,0.011836,0.93238,0.001117,0.00111,0.001862,-0.003747,-0.081176,-0.038192
0.191774,-0.04497,0.98687,0.002131,0.002153,0.003442,-0.006696,-0.04827,-0.069951
0.107547,0.971871,0.027488,0.289587,0.489889,0.38143,0.410128,0.181289,0.029973
0.136337,0.970488,0.060018,0.320577,0.554556,0.339846,0.424093,0.255526,0.042727
0.069649,0.291811,0.956587,0.003495,0.025451,0.00673,0.385348,-0.198027,-0.831434
0.93163,0.317301,-0.145143,0.006841,0.007282,0.011797,-0.363557,-0.220815,0.362397
-0.009287,0.005204,1.013103,0.006675,0.005076,0.015563,0.037224,-0.551912,-0.102443
-0.007359,0.006245,1.006061,0.001483,0.001247,0.001931,-0.009029,-0.059358,0.014932
-0.010295,0.004864,1.015647,0.00504,0.005138,0.007452,0.006121,0.022661,-0.053967
0.145114,0.962272,0.086667,0.302202,0.464283,0.388425,0.125573,0.076699,0.15759
-0.030845,0.000599,1.010528,0.006451,0.005159,0.009014,-0.086038,-0.067073,0.152587
0.212796,0.061116,0.980853,0.001147,0.001122,0.001829,0.055728,-0.032171,-0.047792
0.199734,-0.115129,0.984322,0.001095,0.001161,0.001773,-0.088937,-0.005095,0.072842
-0.007453,0.004803,1.008541,0.005145,0.004829,0.008172,-0.014434,-0.013706,0.068248
-0.118471,-0.063834,0.999848,0.001075,0.00113,0.001889,-0.01954,-0.01065,-0.015857
0.008409,-0.063039,1.013427,0.001197,0.001094,0.0019,0.004927,-0.017646,0.025244
-0.1737,-0.016468,0.991038,0.001126,0.001176,0.001845,0.032196,-0.018829,0.026265
-0.007149,0.005369,1.009528,0.005502,0.00613,0.009463,0.057121,-0.085778,-0.151417
-0.100166,-0.197651,0.983271,0.004706,0.004557,0.007111,0.028552,-0.043075,0.047816
0.004743,0.452878,0.807049,0.164143,0.267056,0.265456,-0.061461,0.225539,-0.833775
-0.015775,-0.003319,1.008669,0.001084,0.001144,0.00187,0.00686,-0.052348,-0.033289
0.000944,0.987116,-0.082633,0.010571,0.005411,0.009076,0.104614,0.194086,0.063283
0.468846,0.686213,-0.534896,0.033859,0.02278,0.023621,-0.866998,0.443069,-0.46407
0.098352,0.981535,-0.061033,0.045765,0.055876,0.064508,0.286442,0.40107,-0.029799
-0.015842,-0.003556,1.009116,0.001109,0.001095,0.001909,0.050678,-0.089889,-0.07684
-0.134126,-0.082521,0.995871,0.001116,0.001147,0.001849,0.025947,0.033018,-0.072133
-0.001073,0.003098,1.011492,0.006457,0.006597,0.0129,-0.352046,0.051391,-0.027692
0.20157,-0.114979,0.981412,0.001102,0.001088,0.001922,0.090947,-0.089836,-0.097602
-0.008011,0.00726,1.010178,0.001925,0.002952,0.002676,0.317022,0.059428,0.066579
-0.014317,-0.019266,1.010626,0.002903,0.003798,0.005684,-0.419198,-0.179484,0.170427
-0.013669,-0.02086,1.010206,0.002361,0.002189,0.002411,0.049719,-0.093117,0.345523
-0.027192,0.09071,0.989632,0.047574,0.17236,0.063499,0.228164,-0.054515,-0.705663
0.201307,-0.115176,0.980366,0.001081,0.001115,0.001763,0.001728,-0.057421,0.07546
-0.008911,0.007572,1.01505,0.002217,0.002326,0.003646,-0.02417,-0.056445,-0.019397
-0.015807,-0.003302,1.00923,0.001099,0.001123,0.002152,0.027117,-0.024902,-0.01535
0.10104,0.229981,0.967424,0.104292,0.122293,0.130291,0.162578,0.104516,-0.07323
-0.005397,0.004712,1.008695,0.002151,0.002357,0.003594,0.019253,-0.026538,-0.06538
-0.005573,0.004754,1.009026,0.002159,0.00229,0.003515,-0.016064,-0.00334,0.033343
0.188832,0.926936,0.239792,0.105048,0.071812,0.15572,-0.259595,0.784934,-0.409128
-0.13432,-0.081113,0.995479,0.001097,0.001122,0.001832,0.02743,-0.038646,-0.032279
-0.000617,-0.01019,1.004515,0.001161,0.001228,0.001719,0.023081,-0.063726,-0.00021
0.154667,0.24568,0.90679,0.214658,0.262192,0.216265,-0.118152,0.065631,-0.62262
0.012862,0.93314,0.357443,0.094993,0.100664,0.074183,-0.087683,-0.097336,0.356426
-0.11117,0.163687,0.988988,0.027982,0.045106,0.024922,-0.244156,0.026613,-0.354902
0.193684,0.503934,0.844364,0.004661,0.005115,0.007669,0.032726,-0.035118,-0.056479
0.34694,0.049193,0.943108,0.004881,0.004706,0.007162,-0.011622,-0.038155,0.022674
-0.029586,0.002907,1.010972,0.005533,0.005385,0.012524,0.088952,-0.19138,-0.160822
0.21723,0.045333,0.981796,0.004589,0.00482,0.00717,-0.030467,-0.066096,-0.01793
-0.086073,0.013062,1.005783,0.004753,0.004861,0.007244,-0.069721,0.026072,-0.051283
-0.007031,-0.10973,1.002636,0.001266,0.001282,0.00258,0.231479,-0.381452,-0.352012
-0.063779,0.282555,0.962638,0.013386,0.027686,0.016116,0.189997,-0.015033,-0.432244
-0.02267,-0.004849,1.009468,0.001753,0.002454,0.002233,-0.20264,-0.099428,0.001671
-0.171002,0.271379,0.946877,0.070326,0.080888,0.042922,0.451435,-0.208037,-0.698547
0.198315,-0.114839,0.987815,0.001101,0.001174,0.00183,-0.003142,-0.103527,-0.012242
-0.159694,-0.079716,0.994265,0.004785,0.004812,0.007403,-0.033517,0.00645,-0.002144
0.130282,-0.172051,0.986084,0.004541,0.004692,0.007023,0.000734,-0.018282,-0.058135
-0.008787,0.005399,1.013245,0.001614,0.003046,0.003157,0.61463,-0.085869,0.042131
-0.114665,0.978523,0.052731,0.083347,0.054227,0.140764,0.131078,-0.098525,-0.067193
-0.005781,-0.002648,1.00884,0.004567,0.004792,0.007145,0.020298,0.000268,-0.001887
0.200365,-0.114696,0.982927,0.00115,0.001163,0.001819,0.026044,-0.047613,-0.070095
0.148828,-0.122804,0.988973,0.004814,0.00458,0.007338,0.007397,-0.029562,-0.013314
0.201756,-0.115,0.979899,0.001083,0.001117,0.001844,0.037616,-0.034295,0.021587
0.668786,0.164678,0.72559,0.073494,0.076481,0.082785,-0.160628,0.497001,0.102226
-0.00806,0.006099,1.010198,0.00514,0.004888,0.007473,0.03297,-0.005493,-0.003004
-0.006847,-0.109418,1.00294,0.001131,0.001174,0.001855,-0.0201,-0.091548,-0.076857
-0.212246,-0.168346,0.972704,0.001114,0.00112,0.001936,-0.036776,-0.087089,-0.055707
-0.008627,0.007072,1.007152,0.001198,0.002033,0.002089,0.300422,-0.117335,-0.205806
-0.007784,0.006732,1.010666,0.002696,0.002463,0.004781,-0.094696,0.060683,-0.13774
0.001408,0.00151,1.006174,0.061319,0.046762,0.044629,0.318828,-0.311738,-0.283424
0.201694,-0.11473,0.981204,0.00111,0.001074,0.00175,0.008979,0.013469,-0.038626
0.012742,-0.032131,1.004822,0.002296,0.002099,0.009361,-0.206827,-0.440039,0.274539
0.201557,-0.114669,0.981,0.001096,0.001088,0.001818,-0.055711,-0.008853,-0.024559
0.19843,-0.115405,0.988228,0.001139,0.00115,0.001822,-0.031826,-0.043946,-0.027052
-0.005658,0.085703,1.004066,0.001204,0.001801,0.002272,0.027006,-0.021702,-0.150423
-0.032649,-0.186611,0.989775,0.001262,0.001217,0.002451,0.218268,-0.330637,-0.3097
-0.007772,0.005844,1.012769,0.004403,0.004792,0.007365,0.024815,-0.05225,0.032308
-0.030908,0.000914,1.010956,0.004649,0.004666,0.007282,0.003879,0.012488,0.018211
0.201116,-0.114778,0.980578,0.001126,0.001112,0.001845,0.031229,-0.054791,0.059131
0.14827,-0.156018,0.983552,0.004629,0.004735,0.007261,0.016463,0.026087,-0.044645
0.217934,0.139539,0.971685,0.002202,0.002226,0.003608,0.085323,-0.025287,-0.07295
-0.007971,0.004752,1.012087,0.00494,0.00517,0.00717,0.025255,-0.011724,-0.003503
-0.005112,0.003828,1.009777,0.005064,0.004955,0.007445,0.014352,-0.003679,-0.019155
-0.008906,0.013168,1.008243,0.001105,0.00128,0.001769,0.104052,0.000738,-0.009533
-0.009431,0.005884,1.008251,0.001144,0.001598,0.001912,0.153353,0.004157,-0.097513
-0.006581,-0.001199,1.007232,0.001266,0.001165,0.002578,0.148865,-0.34456,-0.278716
0.097736,0.975388,0.141944,0.014444,0.006242,0.022658,-0.473279,0.066415,-0.289345
0.130399,-0.172513,0.985936,0.004551,0.004667,0.007269,0.06815,0.030784,0.006681
-0.0054,0.00545,1.008973,0.002084,0.002265,0.00356,-0.05432,-0.094274,-0.024819
-0.023136,-0.004714,1.011266,0.001973,0.002368,0.002005,-0.349011,-0.151132,0.0129
-0.008746,0.026433,1.004654,0.002347,0.001277,0.00207,-0.067774,-0.016395,0.005184
0.197905,-0.11513,0.98832,0.001172,0.001164,0.001717,0.059796,-0.015751,0.113917
-0.008434,0.004751,1.013427,0.004685,0.004686,0.007195,-0.006255,-0.013084,0.031686
-0.057857,0.372082,0.928078,0.131817,0.100094,0.232567,0.261457,-0.121938,-0.000158
-0.008861,0.008155,1.013367,0.002334,0.002472,0.003642,0.031667,0.039843,-0.034382
0.166252,0.97168,0.057161,0.329227,0.488881,0.422164,0.331682,0.358843,0.151023
0.180131,0.166601,0.974771,0.002203,0.002273,0.003345,0.061123,-0.099643,0.052662
0.096343,0.245752,0.970337,0.001257,0.00293,0.00232,-0.100992,-0.061739,-0.378691
-0.183635,0.220691,0.965342,0.001172,0.001167,0.001835,-0.0066,-0.082836,-0.073939
-0.097989,0.271113,0.96442,0.00129,0.002406,0.002147,0.072369,-0.091554,-0.389517
-0.009414,0.004692,1.01372,0.001108,0.001369,0.001963,0.167746,0.010406,0.025921
-0.031237,0.00314,1.007649,0.001179,0.001192,0.001916,0.044487,0.006857,-0.049901
-0.065339,0.933901,0.34323,0.064845,0.06969,0.073805,-0.545997,-0.089305,-0.067189
0.217936,0.045062,0.981824,0.004759,0.004661,0.007374,0.032268,0.040947,0.038716
0.148582,-0.155657,0.984091,0.004675,0.00444,0.007127,0.050197,-0.020895,0.015412
-0.062121,0.348958,0.942387,0.037017,0.027919,0.01237,0.240867,-0.263459,-0.26562
0.199738,-0.114924,0.984508,0.001139,0.001129,0.001901,0.04082,-0.015204,0.037761
-0.029709,0.002341,1.010757,0.006041,0.006082,0.009382,-0.113686,-0.014063,0.11753
-0.009072,-0.004509,1.005136,0.001684,0.001297,0.001945,-0.148512,-0.131887,0.02097
0.201704,-0.114636,0.980426,0.00112,0.001166,0.001832,0.022272,-0.002266,-0.022092
0.145387,0.96259,0.046473,0.293932,0.565769,0.430062,0.099243,0.234429,0.128895
0.019163,0.056486,0.993641,0.064344,0.162042,0.067367,0.823997,-0.714476,-0.88444
-0.021942,-0.007246,1.010874,0.001364,0.001565,0.001956,-0.308408,-0.005875,0.005437
0.200768,-0.114892,0.981704,0.001045,0.001142,0.001783,-0.055588,-0.049267,-0.088395
-0.010882,0.036883,1.005871,0.001639,0.00161,0.002122,0.314228,0.044882,-0.071752
0.499179,0.42422,-0.742963,0.027549,0.026686,0.031431,0.3697,0.784637,0.721769
-0.00109,-0.010115,1.005785,0.001196,0.001183,0.001968,-0.019414,-0.129871,-0.01752
-0.009209,0.011706,1.008785,0.001226,0.002048,0.002265,0.30392,-0.094404,-0.116945
0.199512,-0.114926,0.983817,0.001084,0.001161,0.001875,0.017069,-0.065956,-0.051359
0.123451,0.980408,0.00618,0.097003,0.103239,0.072803,0.219214,-0.248509,-0.028541
0.201586,-0.114706,0.980722,0.001087,0.001081,0.001727,0.056924,-0.07933,-0.077447
-0.212374,-0.167926,0.972125,0.001111,0.001109,0.001796,0.045113,-0.103125,0.01046
-0.004964,0.005711,1.011045,0.001657,0.001368,0.001786,-0.013869,-0.03651,-0.046417
-0.016301,-0.003489,1.009483,0.001129,0.001122,0.001762,-0.040896,0.00238,-0.121085
0.491724,-0.399049,0.774745,0.088959,0.058604,0.053386,0.888129,-0.859061,-0.747733
0.000412,-0.022371,1.0052,0.001713,0.002092,0.004663,0.413483,-0.270235,0.105325
0.000956,-0.521068,0.865927,0.001146,0.00116,0.001781,0.053847,-0.032502,-0.055516
-0.008801,0.006142,1.015957,0.006084,0.005036,0.012941,-0.059336,-0.292794,0.073612
-0.008226,0.006658,1.007698,0.001769,0.002311,0.004213,0.151573,-0.542218,-0.084154
-0.009235,0.004743,1.011867,0.014576,0.013458,0.004435,-0.795118,0.08264,0.027215
-0.008048,0.004951,1.012482,0.004831,0.004798,0.007571,0.082414,-0.037001,-0.047745
0.090571,0.701939,0.686269,0.142124,0.13642,0.125094,0.147405,-0.298642,-0.617499
-0.105522,-0.053051,1.00761,0.001158,0.001114,0.001913,-0.006999,-0.048843,-0.039497
-0.031734,-0.185857,0.986828,0.001115,0.001112,0.001753,0.080613,-0.070737,-0.054895
-0.007423,0.004464,1.007548,0.006869,0.006446,0.016257,0.136583,-0.512283,-0.247976
0.072077,0.463772,0.88438,0.004128,0.008855,0.005033,-0.388983,-0.124807,-0.536808
0.218,0.046085,0.979962,0.004444,0.004433,0.007537,0.021214,-0.042371,0.063778
0.194045,0.213114,0.962571,0.006691,0.009437,0.005329,0.865582,-0.693841,-0.620769
0.201607,-0.114347,0.980566,0.001113,0.001189,0.001775,0.068944,0.020575,-0.038355
0.129906,-0.172477,0.98689,0.004628,0.004788,0.00742,0.020162,-0.009106,-0.047339
-0.053123,0.006848,1.004659,0.004687,0.004719,0.007508,-0.034968,0.028741,0.020402
